Child	Parent	Child_label	Parent_label
http://purl.obolibrary.org/obo/FOODON_03311737	http://purl.obolibrary.org/obo/FOODON_00001002	processed food product	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002373	http://purl.obolibrary.org/obo/FOODON_00001002	food product by meal type	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002501	http://purl.obolibrary.org/obo/FOODON_00001002	multi-component food	foodon product type
http://purl.obolibrary.org/obo/FOODON_03530151	http://purl.obolibrary.org/obo/FOODON_00001002	biotechnologically derived food	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002147	http://purl.obolibrary.org/obo/FOODON_00001002	food product by consumer group	foodon product type
http://purl.obolibrary.org/obo/FOODON_00003194	http://purl.obolibrary.org/obo/FOODON_00001002	vegetarian food product	foodon product type
http://purl.obolibrary.org/obo/FOODON_00001871	http://purl.obolibrary.org/obo/FOODON_00001002	food product analog	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002645	http://purl.obolibrary.org/obo/FOODON_00001002	food product by process	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002454	http://purl.obolibrary.org/obo/FOODON_00001002	food product by quality	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002169	http://purl.obolibrary.org/obo/FOODON_00001002	foodon product type template	foodon product type
http://purl.obolibrary.org/obo/FOODON_00001180	http://purl.obolibrary.org/obo/FOODON_00001002	prepared food product	foodon product type
http://purl.obolibrary.org/obo/FOODON_00001714	http://purl.obolibrary.org/obo/FOODON_00001002	food component	foodon product type
http://purl.obolibrary.org/obo/FOODON_00002381	http://purl.obolibrary.org/obo/FOODON_00001002	food product by organism	foodon product type
http://purl.obolibrary.org/obo/FOODON_00001796	http://purl.obolibrary.org/obo/FOODON_00001002	cultural food product	foodon product type
http://purl.obolibrary.org/obo/FOODON_00001010	http://purl.obolibrary.org/obo/FOODON_03311737	processed meat food product	processed food product
http://purl.obolibrary.org/obo/FOODON_00002196	http://purl.obolibrary.org/obo/FOODON_03311737	refined or partially-refined food product	processed food product
http://purl.obolibrary.org/obo/FOODON_00001229	http://purl.obolibrary.org/obo/FOODON_03311737	processed cheese food product	processed food product
http://purl.obolibrary.org/obo/FOODON_00001809	http://purl.obolibrary.org/obo/FOODON_03311737	dietary or therapeutic formulation food product	processed food product
http://purl.obolibrary.org/obo/FOODON_03303220	http://purl.obolibrary.org/obo/FOODON_00002373	dessert food	food product by meal type
http://purl.obolibrary.org/obo/FOODON_00002429	http://purl.obolibrary.org/obo/FOODON_00002373	convenience food	food product by meal type
http://purl.obolibrary.org/obo/FOODON_00002651	http://purl.obolibrary.org/obo/FOODON_00002373	dinner food	food product by meal type
http://purl.obolibrary.org/obo/FOODON_00002652	http://purl.obolibrary.org/obo/FOODON_00002373	lunch food	food product by meal type
http://purl.obolibrary.org/obo/FOODON_03305516	http://purl.obolibrary.org/obo/FOODON_00002373	hors d'oeuvre	food product by meal type
http://purl.obolibrary.org/obo/FOODON_03315013	http://purl.obolibrary.org/obo/FOODON_00002373	snack food	food product by meal type
http://purl.obolibrary.org/obo/FOODON_03301977	http://purl.obolibrary.org/obo/FOODON_00002373	beverage food product	food product by meal type
http://purl.obolibrary.org/obo/FOODON_00002386	http://purl.obolibrary.org/obo/FOODON_00002373	breakfast food	food product by meal type
http://purl.obolibrary.org/obo/FOODON_00003278	http://purl.obolibrary.org/obo/FOODON_00002501	raclette (dish)	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003290	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component fruit product	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003190	http://purl.obolibrary.org/obo/FOODON_00002501	adobo	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003052	http://purl.obolibrary.org/obo/FOODON_00002501	pupusa (dish)	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003288	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component meat product	multi-component food
http://purl.obolibrary.org/obo/FOODON_03304599	http://purl.obolibrary.org/obo/FOODON_00002501	soy and corn bread mix	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002839	http://purl.obolibrary.org/obo/FOODON_00002501	akutaq	multi-component food
http://purl.obolibrary.org/obo/FOODON_03311761	http://purl.obolibrary.org/obo/FOODON_00002501	hazelnut chocolate spread	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003192	http://purl.obolibrary.org/obo/FOODON_00002501	hushpuppy	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002828	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component pasta product	multi-component food
http://purl.obolibrary.org/obo/FOODON_03316579	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component vegetable product	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002849	http://purl.obolibrary.org/obo/FOODON_00002501	fried rice	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003285	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component seafood product	multi-component food
http://purl.obolibrary.org/obo/FOODON_03306251	http://purl.obolibrary.org/obo/FOODON_00002501	maple spread	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002931	http://purl.obolibrary.org/obo/FOODON_00002501	halva	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002975	http://purl.obolibrary.org/obo/FOODON_00002501	thalipeeth	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002941	http://purl.obolibrary.org/obo/FOODON_00002501	flatbread wrap	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002428	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component bean product	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002257	http://purl.obolibrary.org/obo/FOODON_00002501	soup food product	multi-component food
http://purl.obolibrary.org/obo/FOODON_00003245	http://purl.obolibrary.org/obo/FOODON_00002501	quenelle	multi-component food
http://purl.obolibrary.org/obo/FOODON_03303591	http://purl.obolibrary.org/obo/FOODON_00002501	chocolate-coated banana (frozen)	multi-component food
http://purl.obolibrary.org/obo/FOODON_03304881	http://purl.obolibrary.org/obo/FOODON_00002501	cardamom seed (candy-coated)	multi-component food
http://purl.obolibrary.org/obo/FOODON_03306530	http://purl.obolibrary.org/obo/FOODON_00002501	mushroom with seafood (canned)	multi-component food
http://purl.obolibrary.org/obo/FOODON_03304758	http://purl.obolibrary.org/obo/FOODON_00002501	tamale	multi-component food
http://purl.obolibrary.org/obo/FOODON_00002450	http://purl.obolibrary.org/obo/FOODON_00002501	multi-component honey product	multi-component food
